n,r,CI95%,p-unc,BF10,power,X,Y
7,0.9999999999999999,[1. 1.],0.0,3.561e+23,1.0,AvrConBili,AvrConBili
7,0.7787080104630596,[0.06 0.97],0.039114749622465216,2.734,0.5976912030038067,AvrConBili,De
7,0.2566693779451379,[-0.62  0.85],0.5784745078455438,0.524,0.08657515202927296,AvrConBili,Eb
7,0.5916272343023471,[-0.29  0.93],0.1617403540203301,1.064,0.306149230671259,AvrConBili,RE_R1l
7,-0.030777376155316866,[-0.77  0.74],0.9477754464362391,0.458,0.04973357177270808,AvrConBili,Dhl
7,-0.7321000179074549,[-0.96  0.05],0.06138061163530355,2.015,0.5087690460567142,AvrConBili,AUC35_Cb
7,0.3363643883286826,[-0.56  0.87],0.46071766129237657,0.58,0.11626811746089435,AvrConBili,ve
7,-0.7122080886484167,[-0.95  0.09],0.07255809155930125,1.801,0.47429960381513264,AvrConBili,Thl
7,-0.5119746795454735,[-0.91  0.39],0.24012496779029494,0.833,0.22721451595032616,AvrConBili,RE_Sb
7,-0.3887885343077814,[-0.88  0.52],0.38870349902993767,0.633,0.14200556184668964,AvrConBili,kbh
7,0.3875123767124833,[-0.52  0.88],0.39039929988806776,0.631,0.1413132663979155,AvrConBili,Te
7,0.22359258379721075,[-0.64  0.84],0.6298342146979364,0.506,0.07714859037958535,AvrConBili,AvrALT
7,0.6449448141723075,[-0.21  0.94],0.11780499485817117,1.306,0.37239468963755284,AvrConBili,DR1_45min
7,-0.5206348276407042,[-0.91  0.38],0.23089057987645703,0.853,0.23476805880021367,AvrConBili,Toe
7,-0.2500757008554239,[-0.84  0.62],0.5886077957631387,0.52,0.0845696703238363,AvrConBili,CL
7,-0.6277597685379881,[-0.94  0.24],0.13119643964679986,1.218,0.34973642986314246,AvrConBili,khe
7,0.7560946231018635,[0.01 0.96],0.04923420970602892,2.339,0.5531157220500926,AvrConBili,R1_scan2
7,0.568158108115625,[-0.32  0.93],0.1832833110778038,0.983,0.28057978697701585,AvrConBili,R1_45min
7,-0.03338742370719933,[-0.77  0.74],0.9433513351422492,0.458,0.049822940578210406,AvrConBili,AvrConTotBili
7,-0.06850830464334699,[-0.78  0.72],0.8839694258646484,0.461,0.05173946078364916,AvrConBili,Eo
7,0.38361979753205605,[-0.52  0.88],0.39559015787966845,0.627,0.1392227934858582,AvrConBili,AUC35_Cl
7,0.11780202970504522,[-0.7  0.8],0.8013978109836296,0.47,0.05671785373406297,AvrConBili,AvrBili
