X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cb,8.989001315731413e-07,0.8626106990876927,1.0921881142455649e-05,7.65919710422936e-06,0.5923234329051015,3.525220690853925e-05,5.2066469789669e-05,3.6511160218337833e-06,2.5379377921028865e-05,0.8087838746622231,0.15732665691242143,0.2661583522667133,0.37729282954021715
CO,0.15939033199316646,0.5106933472028785,0.11574808839946604,0.06585552454122212,0.2593236758166301,0.1196109584725163,0.07076208500272622,0.1509904214117093,0.17733426724919074,0.45732688458063014,0.7217422401029454,0.10949962640962527,0.14328445104442125
Dhl,0.20882977661341823,0.614719011267358,0.17139191671613552,0.24097641369454845,0.2939332981380046,0.1673431721572342,0.2285224165775836,0.2666821548342282,0.3962774803134052,0.22733540378015107,0.6043692982412192,0.8486003022751877,0.7466886504353789
Eb,0.9777297486863428,0.050330541185280304,0.9185601441600766,0.812827156661194,0.5159404953099044,0.9248694159757019,0.8261529977979714,0.9433173670071704,0.9586069123739069,0.4954912759181973,0.008097668997491082,0.6792098058257826,0.3931473058406821
Eo,0.581465906207405,0.3087294493654293,0.44876330184181656,0.44806902943841165,0.6276722735181159,0.4389105455547403,0.42826278010469576,0.5598314186847291,0.6654446346524946,0.6776989255472767,0.06610443570573775,0.7572702194968626,0.2231482407748816
RE_R1b,1.489776327034239e-05,0.8297846891207106,5.7768918670053434e-05,5.550883025627889e-06,0.5753410789009826,0.00014207525089258226,5.661426286506309e-05,3.509138082077934e-05,9.870528404196307e-05,0.7664396933478772,0.234519615709959,0.31081039619406226,0.37078905223168457
RE_Sb,0.015241439479158026,0.9223855782141415,0.005497023822784085,0.0039432645899315725,0.5056576200711442,0.003917831932469606,0.001786364390827685,0.015940282845423252,0.026521905703311737,0.31675315654462194,0.22696762011790145,0.452307310702713,0.02424052750682299
Thl,0.003783730186765354,0.9288279364243687,0.0045507535314000085,0.005050301137704254,0.5267618563308094,0.004366048926985895,0.004440001634043054,0.007211517779074582,0.00947682632887736,0.5186228987242537,0.006269379809401433,0.8693989559004446,0.876128095019119
To,0.7036761540081637,0.3826771601815798,0.6485535450366505,0.6008021654741094,0.45111969797719953,0.6119749681070141,0.5347939161511337,0.6403577850594471,0.5681026163378,0.3566812076260771,0.2676223441305758,0.7949798184844432,0.19970223859398956
Toe,0.25602462683202365,0.2964482192345447,0.3024307641861509,0.32896129638305144,0.2523976200232263,0.3319341658514021,0.385218476083658,0.3282001730864326,0.40737987828898403,0.19436730605720204,0.8979892303591364,0.6763964289393443,0.25713794647627597
