X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cb,0.9785717742350175,-0.06305666226622497,0.959764343500558,0.963218788239332,0.19344415458161088,0.945839909139788,0.9401899546373161,0.969495873064653,0.9501773323274467,0.08809355630318456,-0.4830105120777634,-0.3892986592605929,0.3137772342269359
CO,0.48092550802485967,0.23646792129458563,0.5291755642224008,0.6014576921159337,0.39445084196704666,0.5244923488609449,0.5930325476145802,0.48951740814677386,0.4634419835119616,0.2661429294397092,0.1293459156563628,-0.5369626807119416,0.4976582977889928
Dhl,0.43512450231697636,0.18204220861916987,0.46910975235379354,0.4086652868868682,-0.369069993622344,0.47303877126059507,0.41866263124216685,0.38890681640872377,0.3020753118037277,-0.41963141428222195,0.18729256964027455,0.06954669479642125,-0.11740441289363483
Eb,-0.010181741768598172,-0.6312012992478432,-0.0372814228021453,-0.08620243572226355,-0.23362332677031486,-0.03438603904497079,-0.07998262072884962,-0.02592948715258294,-0.018929335640016302,-0.24477922757680226,-0.7776400862982255,-0.14997497638803403,-0.30398567381349245
Eo,-0.19902820899937423,-0.35871207828306323,-0.27104371099449115,-0.2714428720245147,-0.1755145469775907,-0.27673497459625485,-0.28295170503881634,-0.21027304723653953,-0.15673338985928986,-0.15071470054445024,-0.6010205827583905,0.11237037992306713,-0.42307192786542097
RE_R1b,0.9564736336804343,0.07829083134942852,0.938585353293345,0.9660928431101878,0.20219533757098726,0.9227142158602275,0.9389004705331774,0.9459028285704311,0.9295899861227758,0.10802211129652274,-0.4138110512649642,-0.35727658036851656,0.31785209961909794
RE_Sb,0.735954296804065,-0.03552568062632397,0.7995991145926044,0.8165769583414727,0.23920938123893176,0.8168919700422688,0.8511718390864719,0.7326886858538112,0.6922687780278629,0.35320466455125216,-0.41993216418968304,-0.26901047454179156,0.6998822527822867
Thl,0.8185776574276147,-0.03257032997111646,0.8094509126200732,0.8040852044885983,-0.22779426535954644,0.8115415270855968,0.8106970255830995,0.784470646257503,0.767992487098616,-0.23217376816205113,-0.7924207450395012,-0.059917986930576456,0.056810150485785096
To,-0.13806410302478572,0.3104298091607638,-0.16508740840851205,-0.18910957533913886,-0.2696910167319092,-0.18343117856884675,-0.2234992255151774,-0.1691663930625505,-0.2059547724646878,-0.3268149635159448,0.38820454236742885,0.09456462510321313,-0.44305799308415117
Toe,0.39696455853342827,0.3672902118929725,0.36308848837150054,0.34496303295214226,-0.3997489446626111,0.3429801831667446,0.3088578851678896,0.3454721742875687,0.29535719034580094,-0.44779292804313964,0.0467354406002404,0.1513528069896642,-0.3961142715837666
