X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cb,0.9592772584869234,0.5671174077097603,0.42059651153962163,0.19673818485444686,0.4828830663834425,0.6136142432919889,0.27157303725200815,0.8418552088264434,0.798818404380957,0.9067251225746528,0.1914073141980085,0.11278867496983813,0.4830985946075652
CO,0.26591605985206435,0.7334210547711609,0.6660951431755336,0.4627141610137984,0.22957484919054444,0.3881493996308104,0.4695552109188272,0.4133630211045468,0.5245620165207072,0.37572938813627854,0.601670528302851,0.17715044186923212,0.03934747315019256
Dhl,0.2808841904117525,0.11754016011564958,0.913116509215351,0.8161266051028344,0.5725983683926821,0.9821445309541438,0.8535365084959718,0.5964781838407509,0.6435421680381824,0.10662354874852051,0.2692403287452248,0.8057402794608706,0.14174263036524815
Eb,0.5225429854317009,0.03904040133024894,0.33061494319711104,0.9142379741430522,0.8192986271939342,0.2185383644251064,0.7925663775241664,0.5606955872099036,0.6650373068148825,0.6556063544540782,0.001360034137158967,0.41603632164067683,0.5426558058778919
Eo,0.8830868329702848,0.15472286884382366,0.41758165642500344,0.693362454886467,0.564185173644151,0.3386822429511241,0.48663485277632323,0.9005875302999368,0.9626935764666851,0.8653736231467429,0.05543763936281913,0.995492473420829,0.7629867639356704
RE_R1b,0.9499220823919794,0.16500468930308934,0.5344502801973209,0.5408827452979799,0.5165557466755715,0.5743324680353344,0.5911832584764013,0.8050562575417535,0.8496504556332027,0.8111734946944824,0.02933241508398212,0.03347456196971925,0.8607208450932964
RE_Sb,0.044574306173481036,0.44479738675020275,0.2909805967727715,0.21626199403724836,0.9784543966324517,0.29913151092009055,0.2067709325409469,0.09499801303877183,0.12072287009609568,0.24735826676769374,0.9644155685419529,0.9198176380488763,0.13261602754782154
Thl,0.8553745648459208,0.4230334116286768,0.8729084939586031,0.6793019121171581,0.057027633053857184,0.8833846082571949,0.6265189444048594,0.8076354689180987,0.835211451374871,0.6509977850650057,0.5826494130250273,0.006920893613242175,0.4282895040417199
To,0.45703989122869987,0.06160945623729084,0.8414174346694984,0.918594665981463,0.4086209650388492,0.9198302847743245,0.9708632176943099,0.6407651163509657,0.623263684837418,0.8534498889004103,0.03653060168224139,0.003054621831218949,0.3501793905730572
Toe,0.6051540103681898,0.6215812128855911,0.40181119963348816,0.5362840928522253,0.10984614161204452,0.5872778109114059,0.8095031582474144,0.9548427943229837,0.9727541369688152,0.24447270843878866,0.6911549312176866,0.12200649991774012,0.05647453187078557
