X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cb,-0.021725630881444732,0.23991832887689715,-0.33276426415351484,-0.5098900460973019,-0.2919631813098327,-0.2123715453663465,-0.4430633779734954,-0.08474881196539957,-0.10813689930524222,-0.04982902121429966,0.5151195856668611,0.6040031175178417,-0.29182582366139465
CO,-0.44775863063422616,0.14416029610755712,-0.18206599900353929,0.30492664885585974,0.47919938407572193,-0.3550243428916143,0.30050480220642245,-0.3376607175459453,-0.26582396652500173,0.3637591003691061,0.21937953218725753,-0.5294985789747967,0.7310634214612337
Dhl,0.4354391639358378,0.597795364493296,0.04640443604867986,0.09870503816479331,-0.23663264536478718,0.009523492643038936,0.07843495856417343,0.22244022859364462,0.19499751845767455,-0.6122832075002348,0.4449935799822477,0.10436044199054476,-0.5681744501818188
Eb,0.2670716522491403,-0.7318208590851304,0.39664340754689925,-0.045803770563459856,-0.09698043023748298,0.4892434415560145,-0.11155326602215312,0.2437820824978688,0.18266966413863084,-0.1880638581461062,-0.9166209008007034,-0.3358468969768811,-0.2547203659834041
Eo,0.06251638656777642,-0.5534419728432098,0.33480066515191353,-0.1665969033139975,-0.24168063509517487,0.39061837736162813,-0.289575562830763,0.05311982528606729,0.01990201392118693,-0.07204969357962436,-0.6955157420088312,0.0024040234379695685,-0.12779152418504158
RE_R1b,-0.02672093932004982,0.5422465634193341,-0.2597388024825743,-0.255802413415965,-0.27078214334700723,-0.2355953589293211,-0.22557045065520812,-0.10473336119239979,-0.08053395987673648,0.10140039407919352,0.7579389807806233,0.7462312695316239,-0.07455806260326234
RE_Sb,-0.718685926880984,-0.3166349071338201,-0.42731067331726014,-0.4913475109920304,-0.011492000224802595,-0.4208479819414638,-0.5002469008011956,-0.6286757427510529,-0.5937161636321587,0.4635222495267475,0.018982923299660406,0.042816225564332386,0.5789851812450598
Thl,0.0774426427409019,0.33112277266493195,-0.06799138764919543,-0.17455212650607718,-0.6923608839830548,-0.06235632759777754,-0.20484844101404243,-0.10332751697368028,-0.08834584170729035,-0.19070804098811095,0.23063518742709702,0.8542360173646122,-0.3275958339169835
To,0.30861435967163975,0.6835528970939017,-0.08498569145530482,-0.04347091233725853,-0.34089059076936806,-0.04280945584988538,0.015542119925328751,0.19659905564398755,0.20674153599233014,-0.07848172972915435,0.7381522811219395,0.8900543036465022,-0.3821455033427026
Toe,0.2173309853932911,0.20772118992602695,-0.34555719188280953,-0.25861484155958336,-0.6079221071776246,-0.2278852252684873,-0.10231001611974684,0.02409316514748315,-0.014533173218240117,-0.4660261288312977,0.16784296106537966,0.5920881325811926,-0.6934523147989307
