n,r,CI95%,p-unc,BF10,power,X,Y
10,1.0,"[np.float64(1.0), np.float64(1.0)]",0.0,inf,1.0,RE_R1b,RE_R1b
10,0.3606458194149618,[-0.35  0.81],0.30593787842837084,0.618,0.1806116629825233,RE_R1b,Age
10,-0.024288655485540156,[-0.64  0.61],0.9468998993257716,0.387,0.04936500143395954,RE_R1b,To
10,0.983442160381087,[0.93 1.  ],3.223571306199537e-07,1.87e+04,0.999996689729398,RE_R1b,AUC35_Cb
10,0.938585353293345,[0.76 0.99],5.7768918670053434e-05,363.317,0.996877874270952,RE_R1b,DR1_45min
10,0.15333330976088763,[-0.53  0.71],0.672358777168812,0.419,0.0701302525253431,RE_R1b,AvrALT
10,-0.15586893326216386,[-0.72  0.53],0.6672003997808651,0.42,0.07085999695731751,RE_R1b,Eb
10,0.9389004705331774,[0.76 0.99],5.661426286506309e-05,368.966,0.9969442483025022,RE_R1b,R1_scan2
10,0.43747721052478994,[-0.27  0.84],0.20609831898210637,0.789,0.2537133836020803,RE_R1b,Dhl
10,-0.43301249952507676,[-0.83  0.27],0.21129947431723217,0.776,0.24889522921242022,RE_R1b,AvrConTotBili
10,0.14079456119062375,[-0.54  0.71],0.6980449062921854,0.414,0.06671475575452213,RE_R1b,Weight
10,0.9227142158602275,[0.7  0.98],0.00014207525089258226,182.522,0.9921837754493136,RE_R1b,R1_45min
10,-0.7146396833764032,[-0.93 -0.15],0.02020925172949006,4.13,0.6940284988866311,RE_R1b,Crea
10,0.24652424247125831,[-0.45  0.76],0.4923242432906942,0.477,0.106212805147201,RE_R1b,BMI
10,0.07829083134942852,[-0.58  0.67],0.8297846891207106,0.395,0.05428215212780673,RE_R1b,CL
10,-0.3604487962222019,[-0.81  0.35],0.30622169099070096,0.617,0.18044986910261618,RE_R1b,AvrALP
10,-0.4138110512649642,[-0.83  0.29],0.234519615709959,0.726,0.22899912441589468,RE_R1b,kbh
10,0.9660928431101878,[0.86 0.99],5.550883025627889e-06,2164.971,0.9998023272302177,RE_R1b,DR1_scan2
10,0.04837423654492633,[-0.6   0.66],0.8944286327674147,0.39,0.05091148655739999,RE_R1b,Sex
10,0.6275978350570459,[-0.   0.9],0.0520662330206501,2.049,0.529285429074138,RE_R1b,CO
10,0.7314682018667026,[0.19 0.93],0.016207095885007072,4.875,0.726779041616089,RE_R1b,Thl
10,0.9564736336804343,[0.82 0.99],1.489776327034239e-05,1021.642,0.9993244376550706,RE_R1b,AUC35_Cl
10,-0.08169258985488743,[-0.68  0.58],0.8224852952816812,0.395,0.054768732412968466,RE_R1b,AvrAlb
10,0.7025950119065644,[0.13 0.92],0.02346135641465625,3.693,0.6705814859858485,RE_R1b,RE_Sb
10,-0.35727658036851656,[-0.81  0.35],0.31081039619406226,0.612,0.17786203561464844,RE_R1b,khe
10,0.20219533757098726,[-0.49  0.74],0.5753410789009826,0.445,0.08659794317011826,RE_R1b,De
10,-0.2141615339576641,[-0.74  0.48],0.5524236392373914,0.453,0.09143543163594747,RE_R1b,Height
10,-0.3393420406301757,[-0.8   0.37],0.33742461072739804,0.583,0.16383048965039296,RE_R1b,AvrConBili
10,-0.6294440538269547,[-0.9  0. ],0.051172072989168614,2.075,0.5326038186522432,RE_R1b,Urea
10,0.31785209961909794,[-0.39  0.79],0.37078905223168457,0.553,0.148318620356463,RE_R1b,ve
10,-0.2857327515933066,[-0.78  0.42],0.4235387333156138,0.515,0.1276450146245746,RE_R1b,Eo
10,0.9459028285704311,[0.78 0.99],3.509138082077934e-05,531.645,0.9981845115060053,RE_R1b,RE_R1l
10,0.47481933323898096,[-0.22  0.85],0.16552737253758157,0.91,0.29692620506867107,RE_R1b,Toe
10,0.10802211129652274,[-0.56  0.69],0.7664396933478772,0.402,0.05926390839130491,RE_R1b,Te
10,0.9295899861227758,[0.72 0.98],9.870528404196307e-05,241.208,0.9945576184834487,RE_R1b,RE_Sl
10,-0.23094736857082943,[-0.75  0.47],0.5208968239409582,0.465,0.09878474182302044,RE_R1b,AvrBili
10,0.36064581941496177,[-0.35  0.81],0.30593787842837084,0.618,0.1806116629825233,Age,RE_R1b
10,1.0,"[np.float64(1.0), np.float64(1.0)]",0.0,inf,1.0,Age,Age
10,-0.2385681496670239,[-0.75  0.46],0.5068336117928732,0.471,0.10234435162827969,Age,To
10,0.3871293528932398,[-0.32  0.82],0.2690652960553626,0.667,0.2035174174332523,Age,AUC35_Cb
10,0.2848823058030601,[-0.42  0.78],0.4249807604020959,0.514,0.12713687666947943,Age,DR1_45min
10,-0.3398742551598091,[-0.8   0.37],0.33661853984789925,0.584,0.16423243173542912,Age,AvrALT
10,0.5012544371360237,[-0.19  0.86],0.1399585255861371,1.019,0.33074090234533243,Age,Eb
10,0.3133337425035749,[-0.39  0.79],0.3780040351093979,0.547,0.14523203441202048,Age,R1_scan2
10,-0.3011255823739954,[-0.78  0.41],0.3978380846821591,0.532,0.1371877596086862,Age,Dhl
10,-0.8513406979017097,[-0.96 -0.48],0.0017786520262741555,26.271,0.932084621706167,Age,AvrConTotBili
10,0.5527335988129364,[-0.12  0.88],0.09750579783369163,1.308,0.4044129553442359,Age,Weight
10,0.2828572317720263,[-0.42  0.77],0.4284236856444172,0.512,0.12593484088689472,Age,R1_45min
10,-0.5794572282560893,[-0.89  0.08],0.07915808268107297,1.515,0.44668506530315993,Age,Crea
10,0.747511052887928,[0.22 0.94],0.012939667245524799,5.778,0.7577702085442724,Age,BMI
10,-0.2500042462688645,[-0.76  0.45],0.48603436906729575,0.48,0.1079544589488598,Age,CL
10,0.20101244183987949,[-0.49  0.74],0.5776258021895172,0.444,0.08613750928809807,Age,AvrALP
10,-0.6388245292346505,[-0.9  -0.02],0.046786480541705804,2.215,0.5496181856437538,Age,kbh
10,0.3168094818014753,[-0.39  0.79],0.3724478315270584,0.552,0.1476010826500031,Age,DR1_scan2
10,-0.5100368364960574,[-0.86  0.18],0.13203626951350275,1.06,0.3425769471257957,Age,Sex
10,0.10162962302199158,[-0.56  0.69],0.7799672010268084,0.4,0.05805268492141053,Age,CO
10,0.440925091278103,[-0.26  0.84],0.20213292756371995,0.799,0.25748441821920975,Age,Thl
10,0.3342087169585027,[-0.37  0.8 ],0.3452499354758557,0.576,0.15999830897425885,Age,AUC35_Cl
10,-0.6081890034536878,[-0.9   0.03],0.06209962977396045,1.803,0.49504304866486154,Age,AvrAlb
10,0.14245309327657757,[-0.54  0.71],0.694630826283892,0.414,0.06714824310719178,Age,RE_Sb
10,-0.5410801736944848,[-0.87  0.13],0.10628330974355071,1.231,0.3868317031254045,Age,khe
10,0.20718187178819852,[-0.49  0.74],0.5657475019690745,0.448,0.08857388153130764,Age,De
10,-0.48025931799805915,[-0.85  0.21],0.16005312455687687,0.931,0.30366372436908473,Age,Height
10,-0.5242784338043598,[-0.87  0.16],0.11978929459121664,1.133,0.3624118438388597,Age,AvrConBili
10,0.0755475959683329,[-0.58  0.67],0.8356796217098041,0.394,0.05390526763376488,Age,Urea
10,-0.02258647741148292,[-0.64  0.62],0.9506172783469707,0.387,0.04929465052787561,Age,ve
10,0.5190525449977554,[-0.16  0.87],0.12419751158324528,1.105,0.355041310105167,Age,Eo
10,0.31379815888505114,[-0.39  0.79],0.37725928996906577,0.548,0.145546538039574,Age,RE_R1l
10,-0.1026254512253482,[-0.69  0.56],0.777856280432615,0.401,0.05823627033560297,Age,Toe
10,0.03215777710676964,[-0.61  0.65],0.929727562951804,0.388,0.04975688616199374,Age,Te
10,0.3489328490853358,[-0.36  0.8 ],0.3230509434533024,0.598,0.1712084621706404,Age,RE_Sl
10,-0.2005873120253119,[-0.74  0.49],0.578447757372767,0.444,0.08597280380409467,Age,AvrBili
10,-0.024288655485540135,[-0.64  0.61],0.9468998993257716,0.387,0.04936500143395954,To,RE_R1b
10,-0.2385681496670239,[-0.75  0.46],0.5068336117928732,0.471,0.10234435162827969,To,Age
10,1.0,"[np.float64(1.0), np.float64(1.0)]",0.0,inf,1.0,To,To
10,-0.030177347266192735,[-0.65  0.61],0.9340471361762677,0.388,0.049647929166152696,To,AUC35_Cb
10,-0.16508740840851205,[-0.72  0.52],0.6485535450366505,0.424,0.07362541418565131,To,DR1_45min
10,0.34582059587892533,[-0.36  0.8 ],0.3276798375586564,0.593,0.16878287874082604,To,AvrALT
10,-0.13838810717037037,[-0.71  0.54],0.7030072493102306,0.413,0.06609561315642383,To,Eb
10,-0.2234992255151774,[-0.75  0.47],0.5347939161511337,0.459,0.09544127324149661,To,R1_scan2
10,0.4529299880334897,[-0.25  0.84],0.1886745437574397,0.835,0.27095891762149044,To,Dhl
10,0.32178417233648887,[-0.39  0.79],0.36456624992263803,0.558,0.1510535085392344,To,AvrConTotBili
