X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cl,0.0,0.791689958049703,1.0596898070486796e-07,7.158449443602152e-07,0.6891183799778378,9.19224164311659e-07,5.483584118297396e-06,4.450493618096139e-09,1.1492759356777037e-06,0.8198520279790023,0.09208565513574465,0.41770100320734205,0.31483371289686324
CL,0.791689958049703,0.0,0.7610925530221322,0.9306344434441711,0.3299777219361514,0.7505586039517764,0.906226161468023,0.7045819832714408,0.7101170620536112,0.3466871172560064,0.10109405858623863,0.12791953773476883,0.3418961006884885
DR1_45min,1.0596898070486796e-07,0.7610925530221322,0.0,7.719607561079797e-08,0.7359041019968647,4.1365735141308015e-11,7.332017769950967e-08,9.905843379349085e-07,3.8515075758684414e-05,0.826392752969931,0.10273765925895734,0.3620281331368702,0.22676968688353816
DR1_scan2,7.158449443601839e-07,0.9306344434441711,7.719607561079797e-08,0.0,0.6492173222571954,3.1692881500648315e-07,6.626137270336014e-09,3.1817249843336246e-06,4.252796924780641e-05,0.7434982482722599,0.12365285958765153,0.3343622319663036,0.2185380396778066
De,0.6891183799778378,0.3299777219361514,0.7359041019968647,0.6492173222571954,0.0,0.7759379242245734,0.7229366565774917,0.5222746128050076,0.41381184758628453,4.312781985104303e-05,0.9221315916188985,0.06136603311278477,0.01296175669889219
R1_45min,9.19224164311659e-07,0.7505586039517764,4.1365735141308015e-11,3.1692881500648315e-07,0.7759379242245734,0.0,3.861505413077109e-08,5.249551426394562e-06,0.00010199280528052234,0.8518917101694288,0.09934159139651769,0.36495722263843566,0.2122911448963917
R1_scan2,5.483584118297538e-06,0.906226161468023,7.332017769950967e-08,6.6261372703350715e-09,0.7229366565774917,3.861505413077109e-08,0.0,2.1277736265323272e-05,0.0001871647007276771,0.7913328920833411,0.11474100044989655,0.3385726997096948,0.19112331969080532
RE_R1l,4.450493618096139e-09,0.7045819832714408,9.905843379349085e-07,3.1817249843336246e-06,0.5222746128050076,5.249551426394562e-06,2.1277736265323272e-05,1.0635035875250968e-62,2.6026754033401927e-08,0.6405960187800639,0.10138508050462261,0.38246573124856376,0.23100114689776702
RE_Sl,1.1492759356777477e-06,0.7101170620536112,3.851507575868562e-05,4.252796924780641e-05,0.41381184758628453,0.00010199280528052234,0.00018716470072767518,2.60267540333993e-08,0.0,0.5378937165568981,0.10041739021236405,0.4146944561002829,0.23353922756463474
Te,0.8198520279790023,0.3466871172560064,0.826392752969931,0.7434982482722599,4.312781985104303e-05,0.8518917101694288,0.7913328920833411,0.6405960187800639,0.5378937165568981,1.701605740040155e-61,0.928059337798818,0.19709315021814322,0.003367175749332507
kbh,0.09208565513574449,0.10109405858623863,0.10273765925895734,0.12365285958765153,0.9221315916188985,0.09934159139651769,0.11474100044989655,0.10138508050462246,0.10041739021236405,0.928059337798818,0.0,0.41802772407809363,0.7864061436750578
khe,0.41770100320734205,0.12791953773476883,0.3620281331368702,0.3343622319663036,0.06136603311278477,0.36495722263843566,0.3385726997096948,0.38246573124856376,0.4146944561002829,0.19709315021814322,0.41802772407809363,0.0,0.13754231437377867
ve,0.31483371289686324,0.3418961006884885,0.22676968688353816,0.2185380396778066,0.01296175669889219,0.2122911448963917,0.19112331969080532,0.23100114689776702,0.23353922756463455,0.003367175749332507,0.7864061436750578,0.13754231437377867,0.0
