X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cl,0.9999999999999999,-0.09611032801330735,0.9874776613252688,0.9797648488002275,0.14513608308802875,0.9784508776533272,0.9661971574225683,0.9943428804920168,0.9772047694026063,0.0829211696263569,-0.5602658844140584,-0.28918950815037986,0.35451543395151974
CL,-0.09611032801330735,0.9999999999999999,-0.11055624588292004,-0.03174193097035856,-0.3442840593328237,-0.1155612788633245,-0.042947167141805916,-0.13762547855312698,-0.13494875182125304,-0.333272407319038,0.5478924974550247,0.5147290870144091,-0.33640144773995095
DR1_45min,0.9874776613252689,-0.11055624588292007,1.0,0.9884345018360976,0.1225537097204991,0.9982455365220849,0.9885830003945212,0.9780415921884402,0.9446070613480017,0.07987089072447066,-0.5457113778921139,-0.3233975424154578,0.42009413588238903
DR1_scan2,0.9797648488002276,-0.03174193097035857,0.9884345018360976,1.0,0.16475779650239197,0.9835126619918665,0.9937499162011589,0.9705367445157635,0.9431927845740659,0.11892572370888262,-0.5196919144376752,-0.3413674858590105,0.42690288142857336
De,0.14513608308802875,-0.3442840593328237,0.12255370972049907,0.16475779650239197,0.9999999999999999,0.10353097245096968,0.12877167813046794,0.23020535409452242,0.29150503706271996,0.9429899789566915,0.03564223095853458,-0.6095347464572739,0.7473935656504598
R1_45min,0.9784508776533272,-0.11556127886332451,0.9982455365220848,0.9835126619918665,0.10353097245096968,1.0,0.990278943889272,0.9665675048107457,0.9289979487883095,0.06802049039529555,-0.5502429747200813,-0.32153614644330586,0.43216845892657585
R1_scan2,0.9661971574225682,-0.042947167141805936,0.9885830003945212,0.993749916201159,0.12877167813046797,0.9902789438892721,0.9999999999999999,0.9523570168767364,0.9170559121284972,0.09627817461013154,-0.5304125250153792,-0.33858512918861683,0.4507092744988911
RE_R1l,0.9943428804920167,-0.13762547855312693,0.9780415921884402,0.9705367445157635,0.23020535409452245,0.9665675048107457,0.9523570168767364,0.9999999999999998,0.991194386647366,0.16904758194407923,-0.5475046735044564,-0.310560817298619,0.4166487701614898
RE_Sl,0.9772047694026061,-0.13494875182125304,0.9446070613480014,0.9431927845740659,0.29150503706271996,0.9289979487883095,0.9170559121284974,0.9911943866473663,1.0,0.22184861634658,-0.548796986942958,-0.2909786525664125,0.41459932337489214
Te,0.08292116962635689,-0.333272407319038,0.07987089072447065,0.11892572370888262,0.9429899789566915,0.06802049039529555,0.09627817461013158,0.16904758194407923,0.22184861634658007,0.9999999999999997,0.03292282211051173,-0.4453643109993635,0.8241034952756281
kbh,-0.5602658844140586,0.5478924974550247,-0.5457113778921139,-0.5196919144376752,0.0356422309585346,-0.5502429747200813,-0.5304125250153793,-0.5475046735044565,-0.5487969869429579,0.03292282211051173,0.9999999999999999,0.28899544759597373,-0.09859579078039687
khe,-0.28918950815037986,0.514729087014409,-0.3233975424154578,-0.3413674858590105,-0.6095347464572739,-0.3215361464433059,-0.33858512918861683,-0.310560817298619,-0.2909786525664124,-0.4453643109993635,0.2889954475959737,1.0,-0.5038998834908766
ve,0.35451543395151974,-0.33640144773995095,0.42009413588238903,0.42690288142857347,0.7473935656504598,0.43216845892657585,0.4507092744988911,0.4166487701614898,0.4145993233748923,0.8241034952756281,-0.09859579078039687,-0.5038998834908766,1.0
