X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cb,8.989001315731413e-07,0.8626106990876927,1.0921881142455649e-05,7.65919710422936e-06,0.5923234329051015,3.525220690853925e-05,5.2066469789669e-05,3.6511160218337833e-06,2.5379377921028865e-05,0.8087838746622231,0.1573266569124214,0.2661583522667133,0.3772928295402171
CO,0.1593903319931664,0.5106933472028785,0.115748088399466,0.0658555245412221,0.2593236758166301,0.1196109584725163,0.0707620850027262,0.1509904214117093,0.1773342672491907,0.4573268845806301,0.7217422401029454,0.1094996264096252,0.1432844510444212
Dhl,0.2088297766134182,0.614719011267358,0.1713919167161355,0.2409764136945484,0.2939332981380046,0.1673431721572342,0.2285224165775836,0.2666821548342282,0.3962774803134052,0.227335403780151,0.6043692982412192,0.8486003022751877,0.7466886504353789
Eb,0.9777297486863428,0.0503305411852803,0.9185601441600766,0.812827156661194,0.5159404953099044,0.924869415975702,0.8261529977979714,0.9433173670071704,0.9586069123739068,0.4954912759181973,0.008097668997491,0.6792098058257826,0.3931473058406821
Eo,0.581465906207405,0.3087294493654293,0.4487633018418165,0.4480690294384116,0.6276722735181159,0.4389105455547403,0.4282627801046957,0.5598314186847291,0.6654446346524946,0.6776989255472767,0.0661044357057377,0.7572702194968626,0.2231482407748816
RE_R1b,1.489776327034239e-05,0.8297846891207106,5.776891867005344e-05,5.550883025627889e-06,0.5753410789009826,0.0001420752508925,5.661426286506309e-05,3.509138082077934e-05,9.870528404196308e-05,0.7664396933478772,0.234519615709959,0.3108103961940622,0.3707890522316845
RE_Sb,0.015241439479158,0.9223855782141416,0.005497023822784,0.0039432645899315,0.5056576200711442,0.0039178319324696,0.0017863643908276,0.0159402828454232,0.0265219057033117,0.3167531565446219,0.2269676201179014,0.452307310702713,0.0242405275068229
Thl,0.0037837301867653,0.9288279364243688,0.0045507535314,0.0050503011377042,0.5267618563308094,0.0043660489269858,0.004440001634043,0.0072115177790745,0.0094768263288773,0.5186228987242537,0.0062693798094014,0.8693989559004446,0.876128095019119
To,0.7036761540081637,0.3826771601815798,0.6485535450366505,0.6008021654741094,0.4511196979771995,0.6119749681070141,0.5347939161511337,0.6403577850594471,0.5681026163378,0.3566812076260771,0.2676223441305758,0.7949798184844432,0.1997022385939895
Toe,0.2560246268320236,0.2964482192345447,0.3024307641861509,0.3289612963830514,0.2523976200232263,0.3319341658514021,0.385218476083658,0.3282001730864326,0.407379878288984,0.194367306057202,0.8979892303591364,0.6763964289393443,0.2571379464762759
