X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cb,0.9785717742350176,-0.0630566622662249,0.959764343500558,0.963218788239332,0.1934441545816108,0.945839909139788,0.940189954637316,0.969495873064653,0.9501773323274468,0.0880935563031845,-0.4830105120777634,-0.3892986592605929,0.3137772342269359
CO,0.4809255080248596,0.2364679212945856,0.5291755642224008,0.6014576921159337,0.3944508419670466,0.5244923488609449,0.5930325476145802,0.4895174081467738,0.4634419835119616,0.2661429294397092,0.1293459156563628,-0.5369626807119416,0.4976582977889928
Dhl,0.4351245023169763,0.1820422086191698,0.4691097523537935,0.4086652868868682,-0.369069993622344,0.473038771260595,0.4186626312421668,0.3889068164087237,0.3020753118037277,-0.4196314142822219,0.1872925696402745,0.0695466947964212,-0.1174044128936348
Eb,-0.0101817417685981,-0.6312012992478432,-0.0372814228021453,-0.0862024357222635,-0.2336233267703148,-0.0343860390449707,-0.0799826207288496,-0.0259294871525829,-0.0189293356400163,-0.2447792275768022,-0.7776400862982255,-0.149974976388034,-0.3039856738134924
Eo,-0.1990282089993742,-0.3587120782830632,-0.2710437109944911,-0.2714428720245147,-0.1755145469775907,-0.2767349745962548,-0.2829517050388163,-0.2102730472365395,-0.1567333898592898,-0.1507147005444502,-0.6010205827583905,0.1123703799230671,-0.4230719278654209
RE_R1b,0.9564736336804344,0.0782908313494285,0.938585353293345,0.9660928431101878,0.2021953375709872,0.9227142158602276,0.9389004705331774,0.9459028285704312,0.9295899861227758,0.1080221112965227,-0.4138110512649642,-0.3572765803685165,0.3178520996190979
RE_Sb,0.735954296804065,-0.0355256806263239,0.7995991145926044,0.8165769583414727,0.2392093812389317,0.8168919700422688,0.8511718390864719,0.7326886858538112,0.6922687780278629,0.3532046645512521,-0.419932164189683,-0.2690104745417915,0.6998822527822867
Thl,0.8185776574276147,-0.0325703299711164,0.8094509126200732,0.8040852044885983,-0.2277942653595464,0.8115415270855968,0.8106970255830995,0.784470646257503,0.767992487098616,-0.2321737681620511,-0.7924207450395012,-0.0599179869305764,0.056810150485785
To,-0.1380641030247857,0.3104298091607638,-0.165087408408512,-0.1891095753391388,-0.2696910167319092,-0.1834311785688467,-0.2234992255151774,-0.1691663930625505,-0.2059547724646878,-0.3268149635159448,0.3882045423674288,0.0945646251032131,-0.4430579930841511
Toe,0.3969645585334282,0.3672902118929725,0.3630884883715005,0.3449630329521422,-0.3997489446626111,0.3429801831667446,0.3088578851678896,0.3454721742875687,0.2953571903458009,-0.4477929280431396,0.0467354406002404,0.1513528069896642,-0.3961142715837666
