X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cb,0.9592772584869234,0.5671174077097603,0.4205965115396216,0.1967381848544468,0.4828830663834425,0.6136142432919889,0.2715730372520081,0.8418552088264434,0.798818404380957,0.9067251225746528,0.1914073141980085,0.1127886749698381,0.4830985946075652
CO,0.2659160598520643,0.7334210547711609,0.6660951431755336,0.4627141610137984,0.2295748491905444,0.3881493996308104,0.4695552109188272,0.4133630211045468,0.5245620165207072,0.3757293881362785,0.601670528302851,0.1771504418692321,0.0393474731501925
Dhl,0.2808841904117525,0.1175401601156495,0.913116509215351,0.8161266051028344,0.5725983683926821,0.9821445309541438,0.8535365084959718,0.5964781838407509,0.6435421680381824,0.1066235487485205,0.2692403287452248,0.8057402794608706,0.1417426303652481
Eb,0.5225429854317009,0.0390404013302489,0.330614943197111,0.9142379741430522,0.8192986271939342,0.2185383644251064,0.7925663775241664,0.5606955872099036,0.6650373068148825,0.6556063544540782,0.0013600341371589,0.4160363216406768,0.5426558058778919
Eo,0.8830868329702848,0.1547228688438236,0.4175816564250034,0.693362454886467,0.564185173644151,0.3386822429511241,0.4866348527763232,0.9005875302999368,0.9626935764666852,0.8653736231467429,0.0554376393628191,0.995492473420829,0.7629867639356704
RE_R1b,0.9499220823919794,0.1650046893030893,0.5344502801973209,0.5408827452979799,0.5165557466755715,0.5743324680353344,0.5911832584764013,0.8050562575417535,0.8496504556332027,0.8111734946944824,0.0293324150839821,0.0334745619697192,0.8607208450932964
RE_Sb,0.044574306173481,0.4447973867502027,0.2909805967727715,0.2162619940372483,0.9784543966324516,0.2991315109200905,0.2067709325409469,0.0949980130387718,0.1207228700960956,0.2473582667676937,0.9644155685419528,0.9198176380488764,0.1326160275478215
Thl,0.8553745648459208,0.4230334116286768,0.8729084939586031,0.6793019121171581,0.0570276330538571,0.8833846082571949,0.6265189444048594,0.8076354689180987,0.835211451374871,0.6509977850650057,0.5826494130250273,0.0069208936132421,0.4282895040417199
To,0.4570398912286998,0.0616094562372908,0.8414174346694984,0.918594665981463,0.4086209650388492,0.9198302847743244,0.97086321769431,0.6407651163509657,0.623263684837418,0.8534498889004103,0.0365306016822413,0.0030546218312189,0.3501793905730572
Toe,0.6051540103681898,0.6215812128855911,0.4018111996334881,0.5362840928522253,0.1098461416120445,0.5872778109114059,0.8095031582474144,0.9548427943229836,0.9727541369688152,0.2444727084387886,0.6911549312176866,0.1220064999177401,0.0564745318707855
