X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cb,-0.0217256308814447,0.2399183288768971,-0.3327642641535148,-0.5098900460973019,-0.2919631813098327,-0.2123715453663465,-0.4430633779734954,-0.0847488119653995,-0.1081368993052422,-0.0498290212142996,0.5151195856668611,0.6040031175178417,-0.2918258236613946
CO,-0.4477586306342261,0.1441602961075571,-0.1820659990035392,0.3049266488558597,0.4791993840757219,-0.3550243428916143,0.3005048022064224,-0.3376607175459453,-0.2658239665250017,0.3637591003691061,0.2193795321872575,-0.5294985789747967,0.7310634214612337
Dhl,0.4354391639358378,0.597795364493296,0.0464044360486798,0.0987050381647933,-0.2366326453647871,0.0095234926430389,0.0784349585641734,0.2224402285936446,0.1949975184576745,-0.6122832075002348,0.4449935799822477,0.1043604419905447,-0.5681744501818188
Eb,0.2670716522491403,-0.7318208590851304,0.3966434075468992,-0.0458037705634598,-0.0969804302374829,0.4892434415560145,-0.1115532660221531,0.2437820824978688,0.1826696641386308,-0.1880638581461062,-0.9166209008007034,-0.3358468969768811,-0.2547203659834041
Eo,0.0625163865677764,-0.5534419728432098,0.3348006651519135,-0.1665969033139975,-0.2416806350951748,0.3906183773616281,-0.289575562830763,0.0531198252860672,0.0199020139211869,-0.0720496935796243,-0.6955157420088312,0.0024040234379695,-0.1277915241850415
RE_R1b,-0.0267209393200498,0.5422465634193341,-0.2597388024825743,-0.255802413415965,-0.2707821433470072,-0.2355953589293211,-0.2255704506552081,-0.1047333611923997,-0.0805339598767364,0.1014003940791935,0.7579389807806233,0.7462312695316239,-0.0745580626032623
RE_Sb,-0.718685926880984,-0.3166349071338201,-0.4273106733172601,-0.4913475109920304,-0.0114920002248025,-0.4208479819414638,-0.5002469008011956,-0.6286757427510529,-0.5937161636321587,0.4635222495267475,0.0189829232996604,0.0428162255643323,0.5789851812450598
Thl,0.0774426427409019,0.3311227726649319,-0.0679913876491954,-0.1745521265060771,-0.6923608839830548,-0.0623563275977775,-0.2048484410140424,-0.1033275169736802,-0.0883458417072903,-0.1907080409881109,0.230635187427097,0.8542360173646122,-0.3275958339169835
To,0.3086143596716397,0.6835528970939017,-0.0849856914553048,-0.0434709123372585,-0.340890590769368,-0.0428094558498853,0.0155421199253287,0.1965990556439875,0.2067415359923301,-0.0784817297291543,0.7381522811219395,0.8900543036465022,-0.3821455033427026
Toe,0.2173309853932911,0.2077211899260269,-0.3455571918828095,-0.2586148415595833,-0.6079221071776246,-0.2278852252684873,-0.1023100161197468,0.0240931651474831,-0.0145331732182401,-0.4660261288312977,0.1678429610653796,0.5920881325811926,-0.6934523147989307
