X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cl,0.0,0.791689958049703,1.0596898070486796e-07,7.158449443602152e-07,0.6891183799778378,9.19224164311659e-07,5.483584118297396e-06,4.450493618096139e-09,1.1492759356777037e-06,0.8198520279790023,0.0920856551357446,0.417701003207342,0.3148337128968632
CL,0.791689958049703,0.0,0.7610925530221322,0.9306344434441712,0.3299777219361514,0.7505586039517764,0.906226161468023,0.7045819832714408,0.7101170620536112,0.3466871172560064,0.1010940585862386,0.1279195377347688,0.3418961006884885
DR1_45min,1.0596898070486796e-07,0.7610925530221322,0.0,7.719607561079798e-08,0.7359041019968647,4.1365735141308015e-11,7.332017769950967e-08,9.905843379349083e-07,3.8515075758684414e-05,0.826392752969931,0.1027376592589573,0.3620281331368702,0.2267696868835381
DR1_scan2,7.158449443601839e-07,0.9306344434441712,7.719607561079798e-08,0.0,0.6492173222571954,3.169288150064832e-07,6.6261372703360145e-09,3.1817249843336246e-06,4.252796924780641e-05,0.7434982482722599,0.1236528595876515,0.3343622319663036,0.2185380396778066
De,0.6891183799778378,0.3299777219361514,0.7359041019968647,0.6492173222571954,0.0,0.7759379242245734,0.7229366565774917,0.5222746128050076,0.4138118475862845,4.312781985104303e-05,0.9221315916188983,0.0613660331127847,0.0129617566988921
R1_45min,9.19224164311659e-07,0.7505586039517764,4.1365735141308015e-11,3.169288150064832e-07,0.7759379242245734,0.0,3.861505413077109e-08,5.249551426394562e-06,0.0001019928052805,0.8518917101694288,0.0993415913965176,0.3649572226384356,0.2122911448963917
R1_scan2,5.483584118297538e-06,0.906226161468023,7.332017769950967e-08,6.6261372703350715e-09,0.7229366565774917,3.861505413077109e-08,0.0,2.1277736265323272e-05,0.0001871647007276,0.7913328920833411,0.1147410004498965,0.3385726997096948,0.1911233196908053
RE_R1l,4.450493618096139e-09,0.7045819832714408,9.905843379349083e-07,3.1817249843336246e-06,0.5222746128050076,5.249551426394562e-06,2.1277736265323272e-05,1.0635035875250968e-62,2.602675403340193e-08,0.6405960187800639,0.1013850805046226,0.3824657312485637,0.231001146897767
RE_Sl,1.1492759356777477e-06,0.7101170620536112,3.851507575868562e-05,4.252796924780641e-05,0.4138118475862845,0.0001019928052805,0.0001871647007276,2.60267540333993e-08,0.0,0.5378937165568981,0.100417390212364,0.4146944561002829,0.2335392275646347
Te,0.8198520279790023,0.3466871172560064,0.826392752969931,0.7434982482722599,4.312781985104303e-05,0.8518917101694288,0.7913328920833411,0.6405960187800639,0.5378937165568981,1.701605740040155e-61,0.928059337798818,0.1970931502181432,0.0033671757493325
kbh,0.0920856551357444,0.1010940585862386,0.1027376592589573,0.1236528595876515,0.9221315916188983,0.0993415913965176,0.1147410004498965,0.1013850805046224,0.100417390212364,0.928059337798818,0.0,0.4180277240780936,0.7864061436750578
khe,0.417701003207342,0.1279195377347688,0.3620281331368702,0.3343622319663036,0.0613660331127847,0.3649572226384356,0.3385726997096948,0.3824657312485637,0.4146944561002829,0.1970931502181432,0.4180277240780936,0.0,0.1375423143737786
ve,0.3148337128968632,0.3418961006884885,0.2267696868835381,0.2185380396778066,0.0129617566988921,0.2122911448963917,0.1911233196908053,0.231001146897767,0.2335392275646345,0.0033671757493325,0.7864061436750578,0.1375423143737786,0.0
