X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cl,1.0,-0.0961103280133073,0.9874776613252688,0.9797648488002276,0.1451360830880287,0.9784508776533272,0.9661971574225684,0.9943428804920168,0.9772047694026064,0.0829211696263569,-0.5602658844140584,-0.2891895081503798,0.3545154339515197
CL,-0.0961103280133073,1.0,-0.11055624588292,-0.0317419309703585,-0.3442840593328237,-0.1155612788633245,-0.0429471671418059,-0.1376254785531269,-0.134948751821253,-0.333272407319038,0.5478924974550247,0.5147290870144091,-0.3364014477399509
DR1_45min,0.9874776613252688,-0.11055624588292,1.0,0.9884345018360976,0.1225537097204991,0.9982455365220848,0.9885830003945212,0.9780415921884402,0.9446070613480017,0.0798708907244706,-0.5457113778921139,-0.3233975424154578,0.420094135882389
DR1_scan2,0.9797648488002276,-0.0317419309703585,0.9884345018360976,1.0,0.1647577965023919,0.9835126619918664,0.9937499162011588,0.9705367445157635,0.943192784574066,0.1189257237088826,-0.5196919144376752,-0.3413674858590105,0.4269028814285733
De,0.1451360830880287,-0.3442840593328237,0.122553709720499,0.1647577965023919,1.0,0.1035309724509696,0.1287716781304679,0.2302053540945224,0.2915050370627199,0.9429899789566916,0.0356422309585345,-0.6095347464572739,0.7473935656504598
R1_45min,0.9784508776533272,-0.1155612788633245,0.9982455365220848,0.9835126619918664,0.1035309724509696,1.0,0.990278943889272,0.9665675048107456,0.9289979487883095,0.0680204903952955,-0.5502429747200813,-0.3215361464433058,0.4321684589265758
R1_scan2,0.9661971574225682,-0.0429471671418059,0.9885830003945212,0.993749916201159,0.1287716781304679,0.990278943889272,1.0,0.9523570168767364,0.9170559121284972,0.0962781746101315,-0.5304125250153792,-0.3385851291886168,0.4507092744988911
RE_R1l,0.9943428804920168,-0.1376254785531269,0.9780415921884402,0.9705367445157635,0.2302053540945224,0.9665675048107456,0.9523570168767364,0.9999999999999998,0.991194386647366,0.1690475819440792,-0.5475046735044564,-0.310560817298619,0.4166487701614898
RE_Sl,0.977204769402606,-0.134948751821253,0.9446070613480014,0.943192784574066,0.2915050370627199,0.9289979487883095,0.9170559121284974,0.9911943866473664,1.0,0.22184861634658,-0.548796986942958,-0.2909786525664125,0.4145993233748921
Te,0.0829211696263568,-0.333272407319038,0.0798708907244706,0.1189257237088826,0.9429899789566916,0.0680204903952955,0.0962781746101315,0.1690475819440792,0.22184861634658,0.9999999999999996,0.0329228221105117,-0.4453643109993635,0.8241034952756281
kbh,-0.5602658844140586,0.5478924974550247,-0.5457113778921139,-0.5196919144376752,0.0356422309585346,-0.5502429747200813,-0.5304125250153793,-0.5475046735044565,-0.5487969869429579,0.0329228221105117,1.0,0.2889954475959737,-0.0985957907803968
khe,-0.2891895081503798,0.514729087014409,-0.3233975424154578,-0.3413674858590105,-0.6095347464572739,-0.3215361464433059,-0.3385851291886168,-0.310560817298619,-0.2909786525664124,-0.4453643109993635,0.2889954475959737,1.0,-0.5038998834908766
ve,0.3545154339515197,-0.3364014477399509,0.420094135882389,0.4269028814285734,0.7473935656504598,0.4321684589265758,0.4507092744988911,0.4166487701614898,0.4145993233748923,0.8241034952756281,-0.0985957907803968,-0.5038998834908766,1.0
