X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cl,0.0,0.4980092633839419,0.014020587234257628,0.07777876545357167,0.8797992970917972,0.010571250245503873,0.11199663578499457,0.0007933954566315302,0.001385965065753824,0.850606733582666,0.9378954564679192,0.5039924505061679,0.2903582534012297
CL,0.4980092633839419,0.0,0.9971960672422289,0.5384158036866611,0.6042063014731472,0.8094673307953955,0.5667177843423356,0.7259888509725781,0.6642411933142911,0.5311489425479707,0.0036119754505580903,0.12179348044337789,0.49045468168812106
DR1_45min,0.01402058723425768,0.9971960672422289,0.0,0.03212929739275976,0.30446006670564213,3.162359665185946e-05,0.0990623676857461,0.0031992984013702727,0.0026512876892351017,0.48590943561372524,0.5327466349366081,0.9136855881156227,0.9413408452637957
DR1_scan2,0.07777876545357167,0.5384158036866611,0.03212929739275976,0.0,0.16723613515360833,0.08214201855177808,5.917038660787938e-05,0.03433067085823992,0.018441679520649394,0.326805869189732,0.9829841666239589,0.7836411824354054,0.5358299812315066
De,0.8797992970917972,0.6042063014731469,0.30446006670564213,0.16723613515360808,0.0,0.34809398130424785,0.1648682195755387,0.342985179263322,0.29490186405513474,0.020882233629843174,0.8372615478721195,0.13573894982701226,0.04371473158807904
R1_45min,0.010571250245503873,0.8094673307953955,3.162359665185946e-05,0.08214201855177808,0.34809398130424785,2.7369110631344074e-47,0.16506356961360166,0.0014853223997350364,0.0019532829517524817,0.5080894269164652,0.42335271797208235,0.9892028927629224,0.9001024851256808
R1_scan2,0.11199663578499457,0.5667177843423356,0.0990623676857461,5.917038660787938e-05,0.1648682195755387,0.16506356961360147,0.0,0.05041953559940652,0.0299936903824581,0.30181092190179104,0.979324251623044,0.8157307873996096,0.5487289259323462
RE_R1l,0.0007933954566315302,0.7259888509725776,0.0031992984013702727,0.03433067085823992,0.342985179263322,0.0014853223997350364,0.05041953559940662,0.0,2.9325793928478577e-07,0.6064536793367915,0.8413799759897154,0.7655747321274347,0.6806156291746861
RE_Sl,0.001385965065753824,0.6642411933142911,0.0026512876892351017,0.018441679520649446,0.29490186405513474,0.0019532829517524817,0.0299936903824581,2.9325793928478577e-07,0.0,0.5054385121606124,0.9123934507007627,0.7583906823077402,0.807961352705506
Te,0.850606733582666,0.5311489425479703,0.48590943561372524,0.326805869189732,0.020882233629843174,0.5080894269164652,0.30181092190179104,0.6064536793367915,0.5054385121606124,0.0,0.9105213588576333,0.6075883189364469,0.006703267512205414
kbh,0.9378954564679192,0.0036119754505580903,0.5327466349366081,0.9829841666239589,0.8372615478721195,0.42335271797208235,0.979324251623044,0.8413799759897154,0.912393450700762,0.9105213588576331,2.7369110631344074e-47,0.16618988677005442,0.8846119767801868
khe,0.5039924505061674,0.12179348044337789,0.9136855881156227,0.7836411824354054,0.13573894982701226,0.9892028927629224,0.8157307873996096,0.765574732127435,0.75839068230774,0.6075883189364469,0.16618988677005442,0.0,0.2074635274008946
ve,0.29035825340122995,0.49045468168812106,0.9413408452637954,0.5358299812315066,0.04371473158807893,0.9001024851256808,0.5487289259323462,0.6806156291746861,0.807961352705506,0.006703267512205414,0.8846119767801868,0.2074635274008946,0.0
