X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cl,1.0,0.2823803986328235,0.8135599908688638,0.6552457141826797,0.06428392087678705,0.8311001680348056,0.6050522220171417,0.9305807454356096,0.9160826907078363,-0.08001730760529835,-0.033146694136709426,0.2786210564598727,-0.4278076996307062
CL,0.2823803986328234,1.0,0.0014954330336541533,0.2573100533867711,-0.21788792806791435,-0.10232953056173966,0.24015832045889035,0.14829926507256883,0.18312415612575522,-0.26176578236926873,0.8835399300508671,0.5923576362077918,-0.28715202432505865
DR1_45min,0.8135599908688637,0.0014954330336541533,1.0,0.7499308992829655,0.41666891912257237,0.9765624466062033,0.6228203701296723,0.8882940950119134,0.8952653858419563,0.29003665085567265,-0.2607842450963021,-0.0460996245559567,0.0313053298221494
DR1_scan2,0.6552457141826797,0.25731005338677115,0.7499308992829654,1.0,0.5398673673771042,0.6482134512535598,0.9710791648158147,0.7439240910778854,0.7946871451991997,0.3995120413796376,-0.00907560947349939,-0.11643956014863402,0.2588930401129704
De,0.06428392087678711,-0.21788792806791438,0.41666891912257237,0.5398673673771043,1.0,0.3836727339484472,0.5423926336337721,0.3874319989702452,0.42419079577079805,0.7854701019708579,-0.08723540595999335,-0.5752407525609,0.7206586136275398
R1_45min,0.8311001680348056,-0.1023295305617396,0.9765624466062033,0.6482134512535598,0.38367273394844725,0.9999999999999998,0.5421835611866298,0.9140791542470448,0.9056612009826275,0.27605668477185896,-0.3309079857291954,-0.00575858449992292,-0.05337998937469929
R1_scan2,0.6050522220171417,0.24015832045889032,0.6228203701296723,0.9710791648158147,0.5423926336337721,0.5421835611866299,0.9999999999999999,0.7058435155709897,0.7560046219441424,0.41874214799452525,0.011027959885260286,-0.09892032450562455,0.2510237180202936
RE_R1l,0.9305807454356098,0.1482992650725689,0.8882940950119134,0.7439240910778854,0.3874319989702452,0.9140791542470448,0.7058435155709895,1.0,0.995098798911219,0.21656766512761677,-0.08500596122944333,0.12636559122218116,-0.17380694801516278
RE_Sl,0.9160826907078363,0.18312415612575522,0.8952653858419563,0.7946871451991996,0.42419079577079805,0.9056612009826275,0.7560046219441423,0.995098798911219,1.0,0.2777150371102509,-0.04679174744204151,0.13032651375779053,-0.10314994729878132
Te,-0.08001730760529835,-0.26176578236926884,0.2900366508556726,0.39951204137963753,0.7854701019708579,0.27605668477185896,0.41874214799452525,0.21656766512761677,0.2777150371102509,1.0,-0.04779467797989752,-0.21590170252029844,0.8558410938628096
kbh,-0.0331466941367094,0.8835399300508671,-0.2607842450963021,-0.00907560947349939,-0.0872354059599933,-0.33090798572919533,0.0110279598852603,-0.0850059612294433,-0.046791747442041565,-0.047794677979897573,0.9999999999999998,0.5409807344756847,-0.06169666494688224
khe,0.2786210564598728,0.5923576362077918,-0.046099624555956675,-0.11643956014863407,-0.5752407525609,-0.005758584499922947,-0.09892032450562449,0.12636559122218108,0.13032651375779059,-0.21590170252029844,0.5409807344756847,0.9999999999999999,-0.499590360701603
ve,-0.4278076996307061,-0.28715202432505865,0.03130532982214948,0.25889304011297043,0.7206586136275399,-0.053379989374699274,0.25102371802029366,-0.17380694801516267,-0.10314994729878135,0.8558410938628096,-0.061696664946882224,-0.499590360701603,1.0
