X,AUC35_Cl,CL,DR1_45min,DR1_scan2,De,R1_45min,R1_scan2,RE_R1l,RE_Sl,Te,kbh,khe,ve
AUC35_Cl,0.0,0.4980092633839419,0.0140205872342576,0.0777787654535716,0.8797992970917972,0.0105712502455038,0.1119966357849945,0.0007933954566315,0.0013859650657538,0.850606733582666,0.9378954564679192,0.5039924505061679,0.2903582534012297
CL,0.4980092633839419,0.0,0.9971960672422288,0.5384158036866611,0.6042063014731472,0.8094673307953955,0.5667177843423356,0.7259888509725781,0.6642411933142911,0.5311489425479707,0.003611975450558,0.1217934804433778,0.490454681688121
DR1_45min,0.0140205872342576,0.9971960672422288,0.0,0.0321292973927597,0.3044600667056421,3.162359665185946e-05,0.0990623676857461,0.0031992984013702,0.0026512876892351,0.4859094356137252,0.5327466349366081,0.9136855881156228,0.9413408452637956
DR1_scan2,0.0777787654535716,0.5384158036866611,0.0321292973927597,0.0,0.1672361351536083,0.082142018551778,5.917038660787938e-05,0.0343306708582399,0.0184416795206493,0.326805869189732,0.9829841666239588,0.7836411824354054,0.5358299812315066
De,0.8797992970917972,0.6042063014731469,0.3044600667056421,0.167236135153608,0.0,0.3480939813042478,0.1648682195755387,0.342985179263322,0.2949018640551347,0.0208822336298431,0.8372615478721195,0.1357389498270122,0.043714731588079
R1_45min,0.0105712502455038,0.8094673307953955,3.162359665185946e-05,0.082142018551778,0.3480939813042478,2.7369110631344074e-47,0.1650635696136016,0.001485322399735,0.0019532829517524,0.5080894269164652,0.4233527179720823,0.9892028927629224,0.9001024851256808
R1_scan2,0.1119966357849945,0.5667177843423356,0.0990623676857461,5.917038660787938e-05,0.1648682195755387,0.1650635696136014,0.0,0.0504195355994065,0.0299936903824581,0.301810921901791,0.979324251623044,0.8157307873996096,0.5487289259323462
RE_R1l,0.0007933954566315,0.7259888509725776,0.0031992984013702,0.0343306708582399,0.342985179263322,0.001485322399735,0.0504195355994066,0.0,2.9325793928478577e-07,0.6064536793367915,0.8413799759897154,0.7655747321274347,0.6806156291746861
RE_Sl,0.0013859650657538,0.6642411933142911,0.0026512876892351,0.0184416795206494,0.2949018640551347,0.0019532829517524,0.0299936903824581,2.9325793928478577e-07,0.0,0.5054385121606124,0.9123934507007628,0.7583906823077402,0.807961352705506
Te,0.850606733582666,0.5311489425479703,0.4859094356137252,0.326805869189732,0.0208822336298431,0.5080894269164652,0.301810921901791,0.6064536793367915,0.5054385121606124,0.0,0.9105213588576332,0.6075883189364469,0.0067032675122054
kbh,0.9378954564679192,0.003611975450558,0.5327466349366081,0.9829841666239588,0.8372615478721195,0.4233527179720823,0.979324251623044,0.8413799759897154,0.912393450700762,0.9105213588576332,2.7369110631344074e-47,0.1661898867700544,0.8846119767801868
khe,0.5039924505061674,0.1217934804433778,0.9136855881156228,0.7836411824354054,0.1357389498270122,0.9892028927629224,0.8157307873996096,0.765574732127435,0.75839068230774,0.6075883189364469,0.1661898867700544,0.0,0.2074635274008946
ve,0.2903582534012299,0.490454681688121,0.9413408452637954,0.5358299812315066,0.0437147315880789,0.9001024851256808,0.5487289259323462,0.6806156291746861,0.807961352705506,0.0067032675122054,0.8846119767801868,0.2074635274008946,0.0
